,Candidate,Elected,Party,Votes,Ward
2123,Kevin FERGUSON,0,Grn,51.0,Hawick & Denholm
2124,Stuart MARSHALL,1,Ind,2283.0,Hawick & Denholm
2125,Clair RAMAGE,1,SNP,478.0,Hawick & Denholm
2126,Neil RICHARDS,1,Con,596.0,Hawick & Denholm
2127,Ian TURNBULL,0,SLD,140.0,Hawick & Denholm
2128,Watson MCATEER,1,Ind,1496.0,Hawick & Hermitage
2129,Davie PATERSON,1,Ind,665.0,Hawick & Hermitage
2130,George TURNBULL,1,Con,912.0,Hawick & Hermitage
2131,Iain WHYTE,0,SNP,386.0,Hawick & Hermitage
2132,Jim BROWN,1,SNP,755.0,Jedburgh & District
2133,Scott HAMILTON,1,Con,1026.0,Jedburgh & District
2134,Kenryck LLOYD-JONES,0,Lab,119.0,Jedburgh & District
2135,Harvey OLIVER,0,Ind,70.0,Jedburgh & District
2136,Sandy SCOTT,1,Con,1094.0,Jedburgh & District
2137,Rory STEWART,0,Ind,600.0,Jedburgh & District
2138,Charles STRANG,0,Grn,171.0,Jedburgh & District
2139,Ian H AITCHISON,0,Ind,333.0,Kelso & District
2140,Alison LAMOND,0,SNP,713.0,Kelso & District
2141,Colin MCGRATH,0,Ind,104.0,Kelso & District
2142,Simon MOUNTFORD,1,Con,1083.0,Kelso & District
2143,Sally PRENTICE,0,Lab,116.0,Kelso & District
2144,Euan ROBSON,1,SLD,636.0,Kelso & District
2145,Colin SHAUGHNESSY,0,Grn,129.0,Kelso & District
2146,Tom WEATHERSTON,1,Con,1212.0,Kelso & District
2147,Kevin DRUM,1,SNP,811.0,Leaderdale & Melrose
2148,Diana FINDLAY,0,Con,523.0,Leaderdale & Melrose
2149,Rebecca FRASER,0,Ind,202.0,Leaderdale & Melrose
2150,Iain GILLESPIE,0,Ind,510.0,Leaderdale & Melrose
2151,Tom MIERS,1,Con,934.0,Leaderdale & Melrose
2152,David PARKER,1,Ind,1149.0,Leaderdale & Melrose
2153,John PATON DAY,0,SLD,426.0,Leaderdale & Melrose
2154,John GREENWELL,1,Con,1592.0,Mid Berwickshire
2155,Donald MOFFAT,1,SNP,962.0,Mid Berwickshire
2156,Frances RENTON,0,SLD,539.0,Mid Berwickshire
2157,Mark ROWLEY,1,Con,1096.0,Mid Berwickshire
2158,David SMITH,0,Lab,175.0,Mid Berwickshire
2159,Pauline STEWART,0,Grn,177.0,Mid Berwickshire
2160,Trevor ADAMS,0,Con,606.0,Selkirkshire
2161,Michelle BALLANTYNE,1,Con,1081.0,Selkirkshire
2162,David BLACK,0,Ind,123.0,Selkirkshire
2163,Gordon EDGAR,1,Ind,514.0,Selkirkshire
2164,Kenneth GUNN,0,Ind,392.0,Selkirkshire
2165,Barbra HARVIE,0,Grn,122.0,Selkirkshire
2166,Nancy NORMAN,0,SLD,134.0,Selkirkshire
2167,Scott REDPATH,0,Lab,147.0,Selkirkshire
2168,Elaine THORNTON-NICOL,1,SNP,888.0,Selkirkshire
2169,Stuart BELL,1,SNP,960.0,Tweeddale East
2170,Shona HASLAM,1,Con,1804.0,Tweeddale East
2171,Amanda Jane KUBIE,0,SLD,650.0,Tweeddale East
2172,Simon RITCHIE,0,SNP,585.0,Tweeddale East
2173,Robin TATLER,1,Ind,793.0,Tweeddale East
2174,HEATHER ANDERSON,1,SNP,1160.0,Tweeddale West
2175,JOHN ANDERSON,0,Con,984.0,Tweeddale West
2176,Kris CHAPMAN,1,SLD,768.0,Tweeddale West
2177,Tommy DAVIDSON,0,Ind,170.0,Tweeddale West
2178,Catriona HAMILTON,0,Grn,218.0,Tweeddale West
2179,Michael NEEDHAM,0,Ind,73.0,Tweeddale West
2180,Julia REID,0,Lab,201.0,Tweeddale West
2181,Eric SMALL,1,Con,1036.0,Tweeddale West
2182,Malcolm John BELL,1,Ind,715.0,Lerwick North
2183,John Finlay Sinclair FRASER,1,Ind,124.0,Lerwick North
2184,Stephen Arthur LEASK,1,Ind,130.0,Lerwick North
2185,Thomas WILLIAMSON,0,Con,26.0,Lerwick North
2186,Peter CAMPBELL,1,Ind,299.0,Lerwick South
2187,Cecil Laing SMITH,1,Ind,429.0,Lerwick South
2188,Frances VALENTE,0,Ind,180.0,Lerwick South
2189,Amanda WESTLAKE,1,Ind,190.0,Lerwick South
2190,Beatrice WISHART,1,Ind,394.0,Lerwick South
2191,Lynsay Anne CUNNINGHAM,0,Ind,76.0,North Isles
2192,Cecil HUGHSON,0,Ind,185.0,North Isles
2193,Alec George PRIEST,1,Ind,327.0,North Isles
2194,Duncan SIMPSON,1,Ind,453.0,North Isles
2195,Ryan James Andrew THOMSON,1,Ind,372.0,North Isles
2196,Julie Jemima BUCHAN,0,Ind,118.0,Shetland Central
2197,Mark Robert BURGESS,1,Ind,260.0,Shetland Central
2198,Brian NUGENT,0,Ind,84.0,Shetland Central
2199,Davie SANDISON,1,Ind,320.0,Shetland Central
2200,Ian SCOTT,1,Ind,191.0,Shetland Central
2201,Alastair Thomas James COOPER,1,Ind,395.0,Shetland North
2202,Isobel JOHNSON,0,Con,48.0,Shetland North
2203,Emma Louise MACDONALD,1,Ind,240.0,Shetland North
2204,Andrea Isabel MANSON,1,Ind,509.0,Shetland North
2205,Allison George Leslie DUNCAN,1,Ind,,Shetland South
2206,Robbie MACGREGOR,1,SNP,,Shetland South
2207,George SMITH,1,Ind,,Shetland South
2208,Steven COUTTS,1,Ind,175.0,Shetland West
2209,Catherine HUGHSON,1,Ind,194.0,Shetland West
2210,Debra Jane NICOLSON,0,Ind,81.0,Shetland West
2211,Gary ROBINSON,0,Ind,179.0,Shetland West
2212,Theo SMITH,1,Ind,521.0,Shetland West
2213,Ian TINKLER,0,Ind,75.0,Shetland West
2214,Andrew BRYDEN,0,Ind,293.0,Ayr East
2215,Chris CULLEN,1,SNP,1148.0,Ayr East
2216,Mary KILPATRICK,1,Con,2110.0,Ayr East
2217,Brian MCGINLEY,1,Lab,900.0,Ayr East
2218,Ian MCPHERSON,0,SNP,753.0,Ayr East
2219,Laura BRENNAN-WHITEFIELD,1,SNP,1256.0,Ayr North
2220,Douglas CAMPBELL,1,SNP,892.0,Ayr North
2221,Ian CAVANA,1,Lab,958.0,Ayr North
2222,Ian DAVIS,1,Con,1258.0,Ayr North
2223,Brenda KNOX,0,Lab,256.0,Ayr North
2224,Jamie MCGEECHAN,0,Ind,300.0,Ayr North
2225,Chic BRODIE,0,Ind,506.0,Ayr West
2226,Siobhian BROWN,1,SNP,1267.0,Ayr West
2227,Allan DORANS,0,SNP,646.0,Ayr West
2228,Martin DOWEY,1,Con,3160.0,Ayr West
2229,Lee LYONS,1,Con,1006.0,Ayr West
2230,Liz MARTIN,0,Lab,911.0,Ayr West
2231,Derek MCCABE,1,Con,675.0,Ayr West
2232,Alec CLARK,1,Ind,1502.0,Girvan and South Carrick
2233,Karen CLARK-MCCARTNEY,0,Ind,429.0,Girvan and South Carrick
2234,Ian FITZSIMMONS,1,Con,1211.0,Girvan and South Carrick
2235,Peter HENDERSON,1,SNP,876.0,Girvan and South Carrick
2236,Owen MARTIN,0,Lab,428.0,Girvan and South Carrick
2237,Gavin SCOTT,0,Ind,85.0,Girvan and South Carrick
2238,Andy CAMPBELL,1,Lab,1247.0,Kyle
2239,Julie DETTBARN,1,SNP,807.0,Kyle
2240,Scott MCFARLANE,0,SNP,721.0,Kyle
2241,Arthur SPURLING,1,Con,2160.0,Kyle
2242,Iain CAMPBELL,1,Con,1584.0,Maybole North Carrick and Coylton
2243,Brian CONNOLLY,1,Ind,904.0,Maybole North Carrick and Coylton
2244,Catriona DELIVELI,0,Lab,408.0,Maybole North Carrick and Coylton
2245,William GRANT,1,SNP,1202.0,Maybole North Carrick and Coylton
2246,Gordon MCFADZEAN,0,Ind,249.0,Maybole North Carrick and Coylton
2247,Ian COCHRANE,1,SNP,1498.0,Prestwick
2248,Hugh HUNTER,1,Con,2008.0,Prestwick
2249,Alasdair John MALCOLM,0,Ind,611.0,Prestwick
2250,Helen MOONIE,1,Lab,895.0,Prestwick
2251,Margaret TONER,1,Con,1098.0,Prestwick
2252,John WALLACE,0,SNP,612.0,Prestwick
2253,Peter John CONVERY,1,Con,2446.0,Troon
2254,Craig MACKAY,1,SNP,1125.0,Troon
2255,Annie MCINDOE,0,SNP,1005.0,Troon
2256,Boyd MURDOCH,0,Grn,290.0,Troon
2257,Bob POLLOCK,1,Con,1135.0,Troon
2258,Philip SAXTON,1,Lab,951.0,Troon
2259,Graeme CAMPBELL,1,Con,2062.0,Avondale and Stonehouse
2260,Margaret COOPER,1,Lab,1540.0,Avondale and Stonehouse
2261,Isobel DORMAN,1,SNP,1121.0,Avondale and Stonehouse
2262,Alister HENDRY,0,Ind,580.0,Avondale and Stonehouse
2263,Laura MURRAY,0,UKIP,51.0,Avondale and Stonehouse
2264,Daniel John O'MALLEY,0,SLD,122.0,Avondale and Stonehouse
2265,Mairi TULBURE,0,SNP,877.0,Avondale and Stonehouse
2266,Erica YOUNG,0,Grn,193.0,Avondale and Stonehouse
2267,Maureen CHALMERS,1,SNP,1354.0,Blantyre
2268,Alan Henderson FRASER,0,Con,593.0,Blantyre
2269,Ashley HUBBARD,0,Sol,76.0,Blantyre
2270,Michael MCGLYNN,0,SNP,797.0,Blantyre
2271,Gerry MCMAHON,0,SSP,48.0,Blantyre
2272,Mo RAZZAQ,1,Lab,1663.0,Blantyre
2273,Stephen REID,0,SLD,100.0,Blantyre
2274,Bert THOMSON,1,Lab,731.0,Blantyre
2275,Maureen DEVLIN,1,Lab,1362.0,Bothwell and Uddingston
2276,James FERGUSON,0,Grn,106.0,Bothwell and Uddingston
2277,Kenny MCCREARY,1,Con,1851.0,Bothwell and Uddingston
2278,James MCGUIGAN,1,SNP,1132.0,Bothwell and Uddingston
2279,Colin ROBB,0,SLD,450.0,Bothwell and Uddingston
2280,Phil SYKES,0,SNP,347.0,Bothwell and Uddingston
2281,Walter BROGAN,1,Lab,1553.0,Cambuslang East
2282,Ellen BRYSON,0,SLD,125.0,Cambuslang East
2283,Gavin DOUGLAS,0,Con,668.0,Cambuslang East
2284,Alistair FULTON,1,SNP,857.0,Cambuslang East
2285,Stuart GALLACHER,0,Lab,134.0,Cambuslang East
2286,Katy LOUDON,1,SNP,1123.0,Cambuslang East
2287,Laura MARTIN,0,Grn,147.0,Cambuslang East
2288,James MOORE,0,SUPS,129.0,Cambuslang East
2289,John BRADLEY,1,SNP,1099.0,Cambuslang West
2290,Don FERGUSON,0,Ind,106.0,Cambuslang West
2291,Kieran James KIELY,0,UKIP,50.0,Cambuslang West
2292,Ann LE BLOND,1,Con,1167.0,Cambuslang West
2293,David MCCLEMONT,0,Grn,161.0,Cambuslang West
2294,Clare MCCOLL,0,SNP,962.0,Cambuslang West
2295,Norman RAE,0,SLD,648.0,Cambuslang West
2296,Margaret WALKER,1,Lab,1336.0,Cambuslang West
2297,Alex ALLISON,1,Con,1927.0,Clydesdale East
2298,Bev GAULD,0,Ind,469.0,Clydesdale East
2299,Mark GORDON,0,SLD,144.0,Clydesdale East
2300,George HANNAH,0,Lab,592.0,Clydesdale East
2301,Eric HOLFORD,1,Con,526.0,Clydesdale East
2302,Ian MCALLAN,1,SNP,1393.0,Clydesdale East
2303,Andrew Jackson MCCALLUM,0,Ind,112.0,Clydesdale East
2304,Janet MOXLEY,0,Grn,268.0,Clydesdale East
2305,Ed ARCHER,0,Ind,678.0,Clydesdale North
2306,Ryan DOHERTY,0,Grn,119.0,Clydesdale North
2307,Richard ELIOTT-LOCKHART,1,Con,1725.0,Clydesdale North
2308,Ronald LOGAN,0,Ind,221.0,Clydesdale North
2309,Julia MARRS,1,SNP,1643.0,Clydesdale North
2310,Catherine MCCLYMONT,1,Lab,1638.0,Clydesdale North
2311,Richard MILLS,0,SLD,91.0,Clydesdale North
2312,Kaitey BLAIR,0,SLD,97.0,Clydesdale South
2313,Craig DALZELL,0,Grn,139.0,Clydesdale South
2314,George GREENSHIELDS,1,Lab,1031.0,Clydesdale South
2315,Mark HORSHAM,1,SNP,874.0,Clydesdale South
2316,Janice MACKAY,0,UKIP,65.0,Clydesdale South
2317,Colin MCGAVIGAN,1,Con,1198.0,Clydesdale South
2318,Danny MEIKLE,0,Ind,425.0,Clydesdale South
2319,Sandra MILLS,0,SNP,757.0,Clydesdale South
2320,Gordon MUIR,0,Lab,866.0,Clydesdale South
2321,Poppy CORBETT,1,Con,2264.0,Clydesdale West
2322,Lynsey HAMILTON,1,Lab,839.0,Clydesdale West
2323,Pat LEE,0,Sol,90.0,Clydesdale West
2324,Eileen LOGAN,1,Lab,1566.0,Clydesdale West
2325,Peter Charles MEEHAN,0,SLD,148.0,Clydesdale West
2326,Mandy MEIKLE,0,Grn,118.0,Clydesdale West
2327,David SHEARER,1,SNP,1611.0,Clydesdale West
2328,Chris TRAVIS,0,SNP,610.0,Clydesdale West
2329,Darren CLYDE,0,Con,1163.0,East Kilbride Central North
2330,Joe FAGAN,1,Lab,1163.0,East Kilbride Central North
2331,Hugh MACDONALD,1,SNP,1374.0,East Kilbride Central North
2332,Stuart MCLEAN,0,Sol,69.0,East Kilbride Central North
2333,Alice Marie MITCHELL,0,Lab,795.0,East Kilbride Central North
2334,John RINTOUL,0,SLD,153.0,East Kilbride Central North
2335,James THORNBURY,0,Grn,239.0,East Kilbride Central North
2336,Sheena WARDHAUGH,1,SNP,1243.0,East Kilbride Central North
2337,John ANDERSON,1,SNP,1705.0,East Kilbride Central South
2338,Willie CHALMERS,0,Con,825.0,East Kilbride Central South
2339,Gerry CONVERY,1,Lab,1425.0,East Kilbride Central South
2340,Iain HUGHES,0,Grn,220.0,East Kilbride Central South
2341,Susan KERR,0,Lab,376.0,East Kilbride Central South
2342,Collette STEVENSON,1,SNP,790.0,East Kilbride Central South
2343,Mark WATSON,0,SLD,98.0,East Kilbride Central South
2344,John CAIRNEY,0,Ind,166.0,East Kilbride East
2345,Brian DOOLAN,0,UKIP,55.0,East Kilbride East
2346,Lorna Menzies Paterson GALL,0,SLD,109.0,East Kilbride East
2347,Gladys MILLER,1,SNP,1374.0,East Kilbride East
2348,Isabel PERRATT,0,Con,911.0,East Kilbride East
2349,Kirsten ROBB,0,Grn,366.0,East Kilbride East
2350,Graham SCOTT,1,Lab,1314.0,East Kilbride East
2351,Jim WARDHAUGH,1,SNP,773.0,East Kilbride East
2352,Archie BUCHANAN,1,SNP,2119.0,East Kilbride South
2353,Conner CAMPBELL,0,UKIP,50.0,East Kilbride South
2354,Fiona DRYBURGH,1,Lab,1030.0,East Kilbride South
2355,Geri GRAY,1,SNP,572.0,East Kilbride South
2356,Alexandra HERDMAN,0,Con,773.0,East Kilbride South
2357,Paul MCGARRY,0,SLD,506.0,East Kilbride South
2358,John PARK,0,Sol,73.0,East Kilbride South
2359,Ruth THOMAS,0,Grn,104.0,East Kilbride South
2360,Ian HARROW,1,Con,2363.0,East Kilbride West
2361,David MACKAY,0,UKIP,49.0,East Kilbride West
2362,Monique MCADAMS,1,Lab,1315.0,East Kilbride West
2363,Billy MCLEAN,0,Grn,194.0,East Kilbride West
2364,Ewan Alexander MCROBERT,0,SLD,223.0,East Kilbride West
2365,Ali SALAMATI,0,SNP,900.0,East Kilbride West
2366,David WATSON,1,SNP,1298.0,East Kilbride West
2367,Balarabe BABA,0,Ind,87.0,Hamilton North and East
2368,David BENNIE,0,SLD,137.0,Hamilton North and East
2369,Stephanie CALLAGHAN,1,SNP,1201.0,Hamilton North and East
2370,Jason DOUGLAS,0,SNP,521.0,Hamilton North and East
2371,Steven HANNIGAN,0,Grn,152.0,Hamilton North and East
2372,Martin Grant HOSE,1,Con,1268.0,Hamilton North and East
2373,Davie MCLACHLAN,1,Lab,1128.0,Hamilton North and East
2374,Nina REEVES,0,Lab,296.0,Hamilton North and East
2375,Joanne FERGUSON,0,SLD,210.0,Hamilton South
2376,John KANE,0,Grn,216.0,Hamilton South
2377,Joe LOWE,1,Lab,1818.0,Hamilton South
2378,Brian MCCAIG,0,Lab,643.0,Hamilton South
2379,Lynne NAILON,1,Con,1544.0,Hamilton South
2380,John ROSS,1,SNP,2167.0,Hamilton South
2381,Josh WILSON,1,SNP,475.0,Hamilton South
2382,Mary DONNELLY,1,SNP,1377.0,Hamilton West and Earnock
2383,Allan FALCONER,1,Lab,1092.0,Hamilton West and Earnock
2384,Graeme HORNE,1,SNP,752.0,Hamilton West and Earnock
2385,Mark MCGEEVER,1,Con,1215.0,Hamilton West and Earnock
2386,Jean MCKEOWN,0,Lab,671.0,Hamilton West and Earnock
2387,Mark Robert RUSTON,0,SLD,134.0,Hamilton West and Earnock
2388,Christine WRIGHT,0,Grn,111.0,Hamilton West and Earnock
2389,Bobby BULLOCH,0,Grn,161.0,Larkhall
2390,Jackie BURNS,1,Lab,987.0,Larkhall
2391,Andy CARMICHAEL,1,Lab,1106.0,Larkhall
2392,Peter CRAIG,1,SNP,1051.0,Larkhall
2393,Donald MACKAY,0,UKIP,80.0,Larkhall
2394,Donald MACLEOD,0,SNP,704.0,Larkhall
2395,Lesley MCDONALD,0,Lab,410.0,Larkhall
2396,Richard NELSON,1,Con,1645.0,Larkhall
2397,Lindsay WATT,0,SLD,102.0,Larkhall
2398,Raymond BURKE,0,Grn,206.0,Rutherglen Central and North
2399,Janine CALIKES,1,SNP,1492.0,Rutherglen Central and North
2400,Gordon CLARK,0,SNP,538.0,Rutherglen Central and North
2401,Liz KEENAN,0,SLD,478.0,Rutherglen Central and North
2402,Gerard KILLEN,1,Lab,1313.0,Rutherglen Central and North
2403,Martin Patrick LENNON,0,Lab,279.0,Rutherglen Central and North
2404,Jared WARK,1,Con,835.0,Rutherglen Central and North
2405,Robert BROWN,1,SLD,1798.0,Rutherglen South
2406,Margaret COWIE,1,Lab,1142.0,Rutherglen South
2407,Brian Stuart FINLAY,0,Grn,152.0,Rutherglen South
2408,Taylor MUIR,0,Con,854.0,Rutherglen South
2409,Carol NUGENT,1,SNP,1803.0,Rutherglen South
2410,Jack SINCLAIR,0,UKIP,57.0,Rutherglen South
2411,Maureen BENNISON,1,SNP,718.0,Bannockburn
2412,Margaret BRISLEY,1,Lab,837.0,Bannockburn
2413,Gordon BRUCE,0,SLD,62.0,Bannockburn
2414,Paul HENKE,0,Con,640.0,Bannockburn
2415,Alasdair MACPHERSON,1,SNP,871.0,Bannockburn
2416,Jennifer TOLLEMACHE,0,Grn,104.0,Bannockburn
2417,Violet WEIR,0,Lab,271.0,Bannockburn
2418,Stuart AULD,0,SLD,476.0,Dunblane and Bridge of Allan
2419,Douglas DODDS,1,Con,1502.0,Dunblane and Bridge of Allan
2420,Graham HOUSTON,1,SNP,1203.0,Dunblane and Bridge of Allan
2421,Rosemary HUNTER,0,SNP,723.0,Dunblane and Bridge of Allan
2422,Alastair MAJURY,1,Con,1543.0,Dunblane and Bridge of Allan
2423,Mike ROBBINS,0,Lab,824.0,Dunblane and Bridge of Allan
2424,Alasdair TOLLEMACHE,1,Grn,706.0,Dunblane and Bridge of Allan
2425,Alistair BERRILL,1,Con,1651.0,Forth and Endrick
2426,Robert DAVIES,1,Con,1147.0,Forth and Endrick
2427,Graham LAMBIE,1,SNP,1026.0,Forth and Endrick
2428,Michael MARTEN,0,Grn,371.0,Forth and Endrick
2429,Evan MCLEAN,0,Ind,630.0,Forth and Endrick
2430,Ian MUIRHEAD,0,SNP,859.0,Forth and Endrick
2431,Richard SIMPSON,0,Lab,529.0,Forth and Endrick
2432,Bryan FLANNAGAN,1,Con,806.0,Stirling East
2433,William GALLOWAY,0,SLD,94.0,Stirling East
2434,Linda HENDRY,0,Grn,125.0,Stirling East
2435,Chris KANE,1,Lab,751.0,Stirling East
2436,Alison LAURIE,1,SNP,916.0,Stirling East
2437,Corrie MCCHORD,0,Lab,416.0,Stirling East
2438,Gerry MCLAUGHLAN,0,SNP,678.0,Stirling East
2439,Chloe CAMPBELL,0,Grn,496.0,Stirling North
2440,Danny GIBSON,1,Lab,616.0,Stirling North
2441,James MCDONALD,0,Ind,85.0,Stirling North
2442,Susan MCGILL,1,SNP,1054.0,Stirling North
2443,Ross OXBURGH,1,Con,1237.0,Stirling North
2444,Jen PRESTON,0,Lab,266.0,Stirling North
2445,Fayzan REHMAN,0,SLD,150.0,Stirling North
2446,Jim THOMSON,1,SNP,727.0,Stirling North
2447,Neil BENNY,1,Con,2076.0,Stirling West
2448,Scott FARMER,1,SNP,1096.0,Stirling West
2449,Morag FULTON,0,SNP,671.0,Stirling West
2450,Kevin RALSTON,0,Grn,251.0,Stirling West
2451,Christine SIMPSON,1,Lab,936.0,Stirling West
2452,Robert SKILLETER,0,SLD,221.0,Stirling West
2453,Gordon COWTAN,0,Grn,286.0,Trossachs and Teith
2454,Martin EARL,1,Con,2027.0,Trossachs and Teith
2455,Jeremy MCDONALD,1,Con,632.0,Trossachs and Teith
2456,Gerry MCGARVEY,0,Lab,326.0,Trossachs and Teith
2457,Galen MILNE,0,SLD,177.0,Trossachs and Teith
2458,Evelyn TWEED,1,SNP,1090.0,Trossachs and Teith
2459,Fergus WOOD,0,SNP,776.0,Trossachs and Teith
2460,Denis AGNEW,1,Ind,791.0,Clydebank Central
2461,Dean ALLARDICE,0,WDCP,84.0,Clydebank Central
2462,Jim BROWN,1,SNP,1631.0,Clydebank Central
2463,Diane DOCHERTY,1,SNP,714.0,Clydebank Central
2464,Penny HUTTON,0,Con,441.0,Clydebank Central
2465,John MOONEY,1,Lab,1180.0,Clydebank Central
2466,Alan Lewis SORRELL,0,Lab,135.0,Clydebank Central
2467,Locky CAMERON,0,Ind,146.0,Clydebank Waterfront
2468,Gail CASEY,1,Lab,1298.0,Clydebank Waterfront
2469,William HENDRIE,1,SNP,1487.0,Clydebank Waterfront
2470,Joe HENRY,0,Ind,292.0,Clydebank Waterfront
2471,David JARDINE,0,Con,531.0,Clydebank Waterfront
2472,Daniel LENNIE,1,Lab,271.0,Clydebank Waterfront
2473,Marie A MCNAIR,1,SNP,601.0,Clydebank Waterfront
2474,Frank MCNIFF,0,SNP,350.0,Clydebank Waterfront
2475,Brian MURRAY,0,Ind,42.0,Clydebank Waterfront
2476,George BLACK,0,WDCP,792.0,Dumbarton
2477,Karen CONAGHAN,1,SNP,1499.0,Dumbarton
2478,David MCBRIDE,1,Lab,1762.0,Dumbarton
2479,Iain MCLAREN,1,SNP,809.0,Dumbarton
2480,Andrew MUIR,0,Ind,159.0,Dumbarton
2481,Elizabeth RUINE,0,Lab,584.0,Dumbarton
2482,Brian WALKER,1,Con,957.0,Dumbarton
2483,Jim FINN,1,SNP,965.0,Kilpatrick
2484,Claire GALLAGHER,0,SNP,800.0,Kilpatrick
2485,Douglas James MCALLISTER,1,Lab,1704.0,Kilpatrick
2486,Lawrence O'NEILL,1,Lab,367.0,Kilpatrick
2487,Hermione SPENCER,0,Con,346.0,Kilpatrick
2488,Jim BOLLAN,1,WDCP,1291.0,Leven
2489,Ian DICKSON,1,SNP,1353.0,Leven
2490,George DRUMMOND,0,SLD,133.0,Leven
2491,Caroline MCALLISTER,1,SNP,673.0,Leven
2492,Michelle Marie MCGINTY,0,Lab,739.0,Leven
2493,John Kelly MILLAR,1,Lab,946.0,Leven
2494,Peter PARLANE,0,Con,655.0,Leven
2495,Sean QUINN,0,Grn,103.0,Leven
2496,Jonathan MCCOLL,1,SNP,1082.0,Lomond
2497,Sally PAGE,1,Con,939.0,Lomond
2498,Chris POLLOCK,0,SNP,458.0,Lomond
2499,George RICE,0,Ind,218.0,Lomond
2500,Louise ROBERTSON,0,WDCP,246.0,Lomond
2501,Martin ROONEY,1,Lab,945.0,Lomond
2502,Hazel SORRELL,0,Lab,477.0,Lomond
2503,Stuart BORROWMAN,1,Ind,2343.0,Armadale and Blackridge
2504,Ian BURGESS,0,Con,723.0,Armadale and Blackridge
2505,Sarah KING,1,SNP,1322.0,Armadale and Blackridge
2506,Andrew MCGUIRE,1,Lab,707.0,Armadale and Blackridge
2507,Chris SMILLIE,0,SLD,47.0,Armadale and Blackridge
2508,Paula Ryans STOKES,0,Grn,62.0,Armadale and Blackridge
2509,William Hannah BOYLE,1,SNP,1554.0,Bathgate
2510,Barry BURROWS,0,SNP,653.0,Bathgate
2511,Harry CARTMILL,1,Lab,1646.0,Bathgate
2512,Charles KENNEDY,1,Con,1379.0,Bathgate
2513,Lisa MCARTHUR,0,SNP,346.0,Bathgate
2514,Dale MCDOWELL,0,Grn,120.0,Bathgate
2515,John MCGINTY,1,Lab,1152.0,Bathgate
2516,Fiona Ann STEVENS,0,SLD,97.0,Bathgate
2517,Jim WALKER,0,Ind,745.0,Bathgate
2518,Diane CALDER,1,SNP,1898.0,Broxburn Uphall and Winchburgh
2519,Janet CAMPBELL,1,SNP,583.0,Broxburn Uphall and Winchburgh
2520,Angela DORAN,1,Lab,1324.0,Broxburn Uphall and Winchburgh
2521,June DOUGLAS,0,Grn,256.0,Broxburn Uphall and Winchburgh
2522,Chris HORNE,1,Con,1897.0,Broxburn Uphall and Winchburgh
2523,Elaine MALLON,0,TUSC,57.0,Broxburn Uphall and Winchburgh
2524,Audrey MIDDLETON,0,Lab,313.0,Broxburn Uphall and Winchburgh
2525,Pippa PLEVIN,0,SNP,422.0,Broxburn Uphall and Winchburgh
2526,John Robertson WOODS,0,SLD,217.0,Broxburn Uphall and Winchburgh
2527,Frank ANDERSON,1,SNP,1479.0,East Livingston and East Calder
2528,Charles CORSER,0,SLD,198.0,East Livingston and East Calder
2529,Neal DRUMMOND,0,Grn,265.0,East Livingston and East Calder
2530,Carl JOHN,1,SNP,972.0,East Livingston and East Calder
2531,Dave KING,1,Lab,1749.0,East Livingston and East Calder
2532,Scott ROGERS,0,Lab,525.0,East Livingston and East Calder
2533,Veronica SMITH,0,SNP,555.0,East Livingston and East Calder
2534,Damian TIMSON,1,Con,1620.0,East Livingston and East Calder
2535,Pamela BARNES,0,Grn,123.0,Fauldhouse and the Breich Valley
2536,Kenneth BROWN,0,SLD,124.0,Fauldhouse and the Breich Valley
2537,Pauline CLARK,1,SNP,1012.0,Fauldhouse and the Breich Valley
2538,David DODDS,1,Lab,1623.0,Fauldhouse and the Breich Valley
2539,Marion KERR,0,Con,832.0,Fauldhouse and the Breich Valley
2540,Greg MCCARRA,0,SNP,783.0,Fauldhouse and the Breich Valley
2541,Cathy MULDOON,1,Lab,966.0,Fauldhouse and the Breich Valley
2542,Tom CONN,1,Lab,1060.0,Linlithgow
2543,Alan COOPER,0,UKIP,40.0,Linlithgow
2544,Sue FRIEL,0,SNP,1091.0,Linlithgow
2545,Tom KERR,1,Con,3037.0,Linlithgow
2546,Maire MCCORMACK,0,Grn,476.0,Linlithgow
2547,Sally PATTLE,0,SLD,381.0,Linlithgow
2548,David TAIT,1,SNP,1160.0,Linlithgow
2549,Alison ADAMSON,1,Con,1940.0,Livingston North
2550,Lorna Menzies CRAIG,0,SNP,1107.0,Livingston North
2551,Robert DE BOLD,1,SNP,1243.0,Livingston North
2552,Caron LINDSAY,0,SLD,250.0,Livingston North
2553,Dom MCGUIRE,1,Lab,993.0,Livingston North
2554,Anne MCMILLAN,0,Lab,726.0,Livingston North
2555,Andrew MILLER,1,SNP,1170.0,Livingston North
2556,Mark WILKINSON,0,Grn,193.0,Livingston North
2557,Lawrence FITZPATRICK,1,Lab,2228.0,Livingston South
2558,Jayne GLASS,0,Grn,200.0,Livingston South
2559,Peter HEGGIE,1,Con,1594.0,Livingston South
2560,Peter Joseph Barrett Andrew JOHNSTON,1,SNP,1700.0,Livingston South
2561,Danny LOGUE,0,Lab,691.0,Livingston South
2562,Jill PATTLE,0,SLD,144.0,Livingston South
2563,Moira SHEMILT,1,SNP,1070.0,Livingston South
2564,Annmargaret WATSON,0,SNP,589.0,Livingston South
