,Candidate,Elected,Party,Votes,Ward
347,Phil FAIRLIE,1,SNP,714.0,Clackmannanshire Central
348,John SHORT,0,Grn,133.0,Clackmannanshire Central
349,Derek STEWART,1,Lab,846.0,Clackmannanshire Central
350,Mike WATSON,1,Con,428.0,Clackmannanshire Central
351,Graham WATT,0,Lab,183.0,Clackmannanshire Central
352,Jo WILKINSON,0,SNP,273.0,Clackmannanshire Central
353,Anne ANDERSON,0,SLD,151.0,Clackmannanshire East
354,Graham LINDSAY,1,SNP,692.0,Clackmannanshire East
355,Kathleen MARTIN,1,Lab,706.0,Clackmannanshire East
356,Bill MASON,1,Con,1452.0,Clackmannanshire East
357,Jane MCTAGGART,0,SNP,363.0,Clackmannanshire East
358,Marion ROBERTSON,0,Grn,132.0,Clackmannanshire East
359,Donald BALSILLIE,1,SNP,660.0,Clackmannanshire North
360,Martha BENNY,1,Con,969.0,Clackmannanshire North
361,Dave CLARK,1,Lab,644.0,Clackmannanshire North
362,Archie DRUMMOND,1,SNP,672.0,Clackmannanshire North
363,Jack GERVAISE,0,Grn,157.0,Clackmannanshire North
364,Helen LEWIS,0,SNP,292.0,Clackmannanshire North
365,Bobby MCGILL,0,Lab,432.0,Clackmannanshire North
366,Damian SHERWOOD-JOHNSON,0,SLD,206.0,Clackmannanshire North
367,John Shier BIGGAM,0,SLD,84.0,Clackmannanshire South
368,Chris DIXON,1,Con,725.0,Clackmannanshire South
369,Kenneth EARLE,1,Lab,640.0,Clackmannanshire South
370,Ellen FORSON,1,SNP,649.0,Clackmannanshire South
371,Craig HOLDEN,1,SNP,831.0,Clackmannanshire South
372,Bryan QUINN,0,Grn,560.0,Clackmannanshire South
373,Christine SINCLAIR,0,Lab,205.0,Clackmannanshire South
374,Thomas Joshua HARRISON,0,Ind,85.0,Clackmannanshire West
375,Jim HAY,0,SLD,112.0,Clackmannanshire West
376,Darren LEE,1,Con,808.0,Clackmannanshire West
377,George MATCHETT,1,Lab,753.0,Clackmannanshire West
378,Craig MILLER,0,Lab,478.0,Clackmannanshire West
379,Tina Margaret MURPHY,1,SNP,704.0,Clackmannanshire West
380,Cara QUINN,0,Grn,159.0,Clackmannanshire West
381,Les SHARP,1,SNP,675.0,Clackmannanshire West
382,Ian BLAKE,1,Con,1664.0,Abbey
383,Rob DAVIDSON,1,SNP,685.0,Abbey
384,Belle DOYLE,0,Ind,175.0,Abbey
385,Kim LOWE,0,SNP,207.0,Abbey
386,Tom MCAUGHTRIE,0,Ind,448.0,Abbey
387,Clare Barbara PHILLIPS,0,Grn,120.0,Abbey
388,Davie STITT,1,Lab,926.0,Abbey
389,Karen CARRUTHERS,1,Con,1290.0,Annandale East and Eskdale
390,Archie DRYBURGH,1,Lab,638.0,Annandale East and Eskdale
391,Denis MALE,0,Ind,721.0,Annandale East and Eskdale
392,Sylvia MOFFAT,0,SNP,454.0,Annandale East and Eskdale
393,Craig PEACOCK,0,Ind,513.0,Annandale East and Eskdale
394,Ronnie TAIT,1,Con,744.0,Annandale East and Eskdale
395,Lisa COURTS,0,SLD,257.0,Annandale North
396,Doug FAIRBAIRN,1,Con,1573.0,Annandale North
397,Gail MACGREGOR,1,Con,1407.0,Annandale North
398,Stephen THOMPSON,1,SNP,1308.0,Annandale North
399,Adam WILSON,1,Lab,925.0,Annandale North
400,Richard BRODIE,1,SLD,1008.0,Annandale South
401,Ian CARRUTHERS,1,Con,1621.0,Annandale South
402,Sean MARSHALL,1,Lab,701.0,Annandale South
403,Henry MCCLELLAND,1,SNP,917.0,Annandale South
404,Peter James Gavin MCKAIN,0,SLP,23.0,Annandale South
405,Ronnie OGILVIE,0,Lab,429.0,Annandale South
406,Allan WEILD,0,Ind,450.0,Annandale South
407,Iain HOWIE,1,Ind,901.0,Castle Douglas and Crocketford
408,David JAMES,1,Con,1346.0,Castle Douglas and Crocketford
409,Lucy MCKIE,0,Lab,264.0,Castle Douglas and Crocketford
410,George PRENTICE,0,Ind,365.0,Castle Douglas and Crocketford
411,Paul John TAYLORSON,0,Grn,129.0,Castle Douglas and Crocketford
412,John Lachlan YOUNG,1,SNP,756.0,Castle Douglas and Crocketford
413,Dougie CAMPBELL,1,SNP,904.0,Dee and Glenkens
414,Patsy GILROY,1,Con,1547.0,Dee and Glenkens
415,Andi HOLMES,0,Ind,120.0,Dee and Glenkens
416,Jane MAITLAND,1,Ind,664.0,Dee and Glenkens
417,Elizabeth MAXWELL,0,Lab,217.0,Dee and Glenkens
418,Andrew METCALF,0,SLD,85.0,Dee and Glenkens
419,Laura MOODIE,0,Grn,292.0,Dee and Glenkens
420,Douglas SWAN,0,Ind,732.0,Dee and Glenkens
421,John THOM,0,Ind,61.0,Dee and Glenkens
422,John CHARTERIS,1,Con,1208.0,Lochar
423,Yen HONGMEI JIN,0,Ind,606.0,Lochar
424,Ivor HYSLOP,1,Con,843.0,Lochar
425,Maureen JOHNSTONE,0,Ind,299.0,Lochar
426,Jeff LEAVER,1,Lab,685.0,Lochar
